x,y,z
0.552047,-0.0182651,0
0.576907,-0.0209353,0
0.601754,-0.0236941,0
0.626584,-0.0265811,0
0.651407,-0.0295627,0
0.676211,-0.0326755,0
0.701004,-0.0358859,0
0.725778,-0.0392337,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.27612,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08674,-0.356226,0
1.10192,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44953,-0.834122,0
1.46466,-0.854019,0
1.47981,-0.873911,0
1.49494,-0.893808,0
1.5101,-0.91369,0
1.52526,-0.933567,0
1.54043,-0.95344,0
1.55562,-0.973288,0
1.57084,-0.993128,0
1.58609,-1.01294,0
1.60135,-1.03274,0
1.61665,-1.05251,0
1.63202,-1.07223,0
1.64743,-1.09191,0
1.66295,-1.11151,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00436125,0.00461702,0
0.0283841,0.0178922,0
0.0533658,0.0168973,0
0.0783414,0.0157437,0
0.103317,0.0146512,0
0.128286,0.0134183,0
0.153256,0.0121976,0
0.178219,0.0108548,0
0.203183,0.00949373,0
0.22814,0.00801058,0
0.253091,0.0064969,0
0.278036,0.00486116,0
0.302981,0.0031888,0
0.32792,0.00139436,0
0.352853,-0.000439742,0
0.377774,-0.00238066,0
0.402694,-0.00437041,0
0.427609,-0.00646696,0
0.452511,-0.00862761,0
0.477414,-0.0109012,0
0.502298,-0.013251,0
0.527176,-0.0157168,0
0.552047,-0.0182651,0
0.576907,-0.0209353,0
0.601754,-0.0236941,0
0.626584,-0.0265811,0
0.651407,-0.0295627,0
0.676211,-0.0326755,0
0.701004,-0.0358859,0
0.725778,-0.0392337,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.27612,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08674,-0.356226,0
1.10192,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44953,-0.834122,0
1.46466,-0.854019,0
1.47981,-0.873911,0
1.49494,-0.893808,0
1.5101,-0.91369,0
1.52526,-0.933567,0
1.54043,-0.95344,0
1.55562,-0.973288,0
1.57084,-0.993128,0
1.58609,-1.01294,0
1.60135,-1.03274,0
1.61665,-1.05251,0
1.63202,-1.07223,0
1.64743,-1.09191,0
1.66295,-1.11151,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00436125,0.00461702,0
0.0283841,0.0178922,0
0.0533658,0.0168973,0
0.0783414,0.0157437,0
0.103317,0.0146512,0
0.128286,0.0134183,0
0.153256,0.0121976,0
0.178219,0.0108548,0
0.203183,0.00949373,0
0.22814,0.00801058,0
0.253091,0.0064969,0
0.278036,0.00486116,0
0.302981,0.0031888,0
0.32792,0.00139436,0
0.352853,-0.000439742,0
0.377774,-0.00238066,0
0.402694,-0.00437041,0
0.427609,-0.00646696,0
0.452511,-0.00862761,0
0.477414,-0.0109012,0
0.502298,-0.013251,0
0.527176,-0.0157168,0
0.552047,-0.0182651,0
0.576907,-0.0209353,0
0.601754,-0.0236941,0
0.626584,-0.0265811,0
0.651407,-0.0295627,0
0.676211,-0.0326755,0
0.701004,-0.0358859,0
0.725778,-0.0392337,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.27612,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08674,-0.356226,0
1.10192,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44953,-0.834122,0
1.46466,-0.854019,0
1.47981,-0.873911,0
1.49494,-0.893808,0
1.5101,-0.91369,0
1.52526,-0.933567,0
1.54043,-0.95344,0
1.55562,-0.973288,0
1.57084,-0.993128,0
1.58609,-1.01294,0
1.60135,-1.03274,0
1.61665,-1.05251,0
1.63202,-1.07223,0
1.64743,-1.09191,0
1.66295,-1.11151,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00436125,0.00461702,0
0.0283841,0.0178922,0
0.0533658,0.0168973,0
0.0783414,0.0157437,0
0.103317,0.0146512,0
0.128286,0.0134183,0
0.153256,0.0121976,0
0.178219,0.0108548,0
0.203183,0.00949373,0
0.22814,0.00801058,0
0.253091,0.0064969,0
0.278036,0.00486116,0
0.302981,0.0031888,0
0.32792,0.00139436,0
0.352853,-0.000439742,0
0.377774,-0.00238066,0
0.402694,-0.00437041,0
0.427609,-0.00646696,0
0.452511,-0.00862761,0
0.477414,-0.0109012,0
0.502298,-0.013251,0
0.527176,-0.0157168,0
0.552047,-0.0182651,0
0.576907,-0.0209353,0
0.601754,-0.0236941,0
0.626584,-0.0265811,0
0.651407,-0.0295627,0
0.676211,-0.0326755,0
0.701004,-0.0358859,0
0.725778,-0.0392337,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.27612,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08674,-0.356226,0
1.10192,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44953,-0.834122,0
1.46466,-0.854019,0
1.47981,-0.873911,0
1.49494,-0.893808,0
1.5101,-0.91369,0
1.52526,-0.933567,0
1.54043,-0.95344,0
1.55562,-0.973288,0
1.57084,-0.993128,0
1.58609,-1.01294,0
1.60135,-1.03274,0
1.61665,-1.05251,0
1.63202,-1.07223,0
1.64743,-1.09191,0
1.66295,-1.11151,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00429716,0.00507478,0
0.0283963,0.0180142,0
0.053378,0.0170194,0
0.0783475,0.0158719,0
0.103329,0.0147794,0
0.128299,0.0135465,0
0.153268,0.0123258,0
0.178232,0.0109769,0
0.203195,0.0096097,0
0.228146,0.00812044,0
0.253103,0.00660066,0
0.278048,0.00496492,0
0.302993,0.00328035,0
0.327926,0.00147981,0
0.352859,-0.000366499,0
0.37778,-0.00231352,0
0.402701,-0.00430937,0
0.427615,-0.00641508,0
0.452517,-0.00858488,0
0.477414,-0.0108645,0
0.502304,-0.0132175,0
0.527182,-0.0156894,0
0.552054,-0.0182437,0
0.576907,-0.020917,0
0.601754,-0.0236819,0
0.626584,-0.0265719,0
0.651407,-0.0295566,0
0.676211,-0.0326694,0
0.701004,-0.0358829,0
0.725778,-0.0392306,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.27612,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08673,-0.356226,0
1.10191,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44952,-0.834122,0
1.46466,-0.854019,0
1.4798,-0.873911,0
1.49494,-0.893808,0
1.51009,-0.91369,0
1.52526,-0.933567,0
1.54043,-0.95344,0
1.55562,-0.973288,0
1.57084,-0.993128,0
1.58609,-1.01294,0
1.60135,-1.03274,0
1.61665,-1.05251,0
1.63202,-1.07223,0
1.64743,-1.09191,0
1.66295,-1.11151,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00429716,0.00507478,0
0.0283963,0.0180142,0
0.053378,0.0170194,0
0.0783475,0.0158719,0
0.103329,0.0147794,0
0.128299,0.0135465,0
0.153268,0.0123258,0
0.178232,0.0109769,0
0.203195,0.0096097,0
0.228146,0.00812044,0
0.253103,0.00660066,0
0.278048,0.00496492,0
0.302993,0.00328035,0
0.327926,0.00147981,0
0.352859,-0.000366499,0
0.37778,-0.00231352,0
0.402701,-0.00430937,0
0.427615,-0.00641508,0
0.452517,-0.00858488,0
0.477414,-0.0108645,0
0.502304,-0.0132175,0
0.527182,-0.0156894,0
0.552054,-0.0182437,0
0.576907,-0.020917,0
0.601754,-0.0236819,0
0.626584,-0.0265719,0
0.651407,-0.0295566,0
0.676211,-0.0326694,0
0.701004,-0.0358829,0
0.725778,-0.0392306,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.27612,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08673,-0.356226,0
1.10191,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44952,-0.834122,0
1.46466,-0.854019,0
1.4798,-0.873911,0
1.49494,-0.893808,0
1.51009,-0.91369,0
1.52526,-0.933567,0
1.54043,-0.95344,0
1.55562,-0.973288,0
1.57084,-0.993128,0
1.58609,-1.01294,0
1.60135,-1.03274,0
1.61665,-1.05251,0
1.63202,-1.07223,0
1.64743,-1.09191,0
1.66295,-1.11151,0
1.67866,-1.13096,0
1.67866,-1.13096,0
-0.00429716,0.00507478,0
0.0283963,0.0180142,0
0.053378,0.0170194,0
0.0783475,0.0158719,0
0.103329,0.0147794,0
0.128299,0.0135465,0
0.153268,0.0123258,0
0.178232,0.0109769,0
0.203195,0.0096097,0
0.228146,0.00812044,0
0.253103,0.00660066,0
0.278048,0.00496492,0
0.302993,0.00328035,0
0.327926,0.00147981,0
0.352859,-0.000366499,0
0.37778,-0.00231352,0
0.402701,-0.00430937,0
0.427615,-0.00641508,0
0.452517,-0.00858488,0
0.477414,-0.0108645,0
0.502304,-0.0132175,0
0.527182,-0.0156894,0
0.552054,-0.0182437,0
0.576907,-0.020917,0
0.601754,-0.0236819,0
0.626584,-0.0265719,0
0.651407,-0.0295566,0
0.676211,-0.0326694,0
0.701004,-0.0358829,0
0.725778,-0.0392306,0
0.75054,-0.0426852,0
0.775284,-0.0462741,0
